,model,score,image
0,Extra Trees Train,0.67,1.1
1,Extra Trees Test,0.05,1.1
2,Random Forest Test,0.05,1.1
3,Random Forest Train,0.67,1.1
4,Extra Trees Train,0.67,1.2
5,Extra Trees Test,0.05,1.2
6,Random Forest Test,0.24,1.2
7,Random Forest Train,0.67,1.2
8,Extra Trees Train,0.67,2.1
9,Extra Trees Test,0.05,2.1
10,Random Forest Test,0.05,2.1
11,Random Forest Train,0.67,2.1
12,Extra Trees Train,0.67,2.2
13,Extra Trees Test,0.0,2.2
14,Random Forest Test,0.24,2.2
15,Random Forest Train,0.75,2.2
16,Extra Trees Train,0.67,3.1
17,Extra Trees Test,0.05,3.1
18,Random Forest Test,0.05,3.1
19,Random Forest Train,0.67,3.1
20,Extra Trees Train,0.67,3.2
21,Extra Trees Test,0.05,3.2
22,Random Forest Test,0.0,3.2
23,Random Forest Train,0.67,3.2
