,image,measure,importance
0,1.1,relevant_fixdur,0.45473050732854653
1,1.1,redundant_fixdur,0.16728899640664346
2,1.1,relevant_fixnum,0.22375999998549018
3,1.1,redundant_fixnum,0.1542204962793198
4,1.2,relevant_fixdur,0.2994777136443803
5,1.2,redundant_fixdur,0.19772045855379186
6,1.2,relevant_fixnum,0.25609587942921275
7,1.2,redundant_fixnum,0.24670594837261506
12,2.1,relevant_fixdur,0.44729162268377964
13,2.1,redundant_fixdur,0.15954785954785955
14,2.1,relevant_fixnum,0.21193751237868885
15,2.1,redundant_fixnum,0.18122300538967206
19,2.2,redundant_fixnum,0.255622540132344
18,2.2,relevant_fixnum,0.26760971055088706
17,2.2,redundant_fixdur,0.22902945275494296
16,2.2,relevant_fixdur,0.24773829656182594
11,3.1,redundant_fixnum,0.3056325156325156
10,3.1,relevant_fixnum,0.14183936433936434
9,3.1,redundant_fixdur,0.30638207471540807
8,3.1,relevant_fixdur,0.246146045312712
20,3.2,relevant_fixdur,0.420819068368088
21,3.2,redundant_fixdur,0.14899322355204708
22,3.2,relevant_fixnum,0.2296322141910377
23,3.2,redundant_fixnum,0.20055549388882726
